,lower,mean,upper
gru_unstacked_iterative,6.126986729941665,10.9840817,15.841176670058337
lstm_stacked_iterative,8.425937494885613,11.57732772,14.728717945114386
cnn,13.415820971402994,14.976971299999999,16.538121628597004
rf,10.725602833134658,15.527827400000001,20.330051966865344
mlr,10.148061848978315,15.783763060000002,21.41946427102169
lstm_stacked_joint,14.68392646846134,15.964311999999998,17.244697531538655
gru_stacked_iterative,24.333592210897397,25.030882599999998,25.7281729891026
gru_stacked_joint,16.698945898125295,25.2907078,33.882469701874705
gru_unstacked_joint,16.965565925167915,27.384639799999995,37.803713674832075
lstm_unstacked_iterative,16.47757879740405,28.151767200000002,39.825955602595954
lstm_unstacked_joint,25.204592996005005,58.584981199999994,91.96536940399498
